Date,act1_price,act2_price,act3_price,act4_price,act5_price
01/09/2016,18419.30078,5227.209961,1239.800049,13.48,101.194344
02/09/2016,18491.96094,5249.899902,1251.829956,11.98,102.142479
06/09/2016,18538.11914,5275.910156,1253.369995,12.02,102.114029
07/09/2016,18526.14063,5283.930176,1261.01001,11.94,102.739792
08/09/2016,18479.91016,5259.47998,1258.359985,12.51,100.047104
09/09/2016,18085.44922,5125.910156,1219.209961,17.5,97.781059
12/09/2016,18325.07031,5211.890137,1235.869995,15.16,99.971252
13/09/2016,18066.75,5155.25,1212.319946,17.85,102.351059
14/09/2016,18034.76953,5173.77002,1211.589966,18.139999,105.972939
15/09/2016,18212.48047,5249.689941,1227.02002,16.299999,109.575851
16/09/2016,18123.80078,5244.569824,1224.780029,15.37,108.959564
19/09/2016,18120.16992,5235.029785,1232.530029,15.53,107.689056
20/09/2016,18129.96094,5241.350098,1228.329956,15.92,107.679581
21/09/2016,18293.69922,5295.180176,1245.040039,13.3,107.660614
22/09/2016,18392.46094,5339.52002,1263.439941,12.02,108.675133
23/09/2016,18261.44922,5305.75,1254.619995,12.29,106.864174
26/09/2016,18094.83008,5257.490234,1240.939941,14.5,107.025368
27/09/2016,18228.30078,5305.709961,1246.380005,13.1,107.22448
28/09/2016,18339.24023,5318.549805,1255.670044,12.39,108.039864
29/09/2016,18143.44922,5269.149902,1237.75,14.02,106.361687
30/09/2016,18308.15039,5312,1251.650024,13.29,107.186554
03/10/2016,18253.84961,5300.870117,1245.780029,13.57,106.684036
04/10/2016,18168.44922,5289.660156,1239.780029,13.63,107.139137
05/10/2016,18281.0293,5316.02002,1248.369995,12.99,107.186554
06/10/2016,18268.5,5306.850098,1246.23999,12.84,107.982986
07/10/2016,18240.49023,5292.399902,1236.560059,13.48,108.144157
10/10/2016,18329.03906,5328.669922,1250.76001,13.38,110.030952
11/10/2016,18128.66016,5246.790039,1227.619995,15.36,110.267975
12/10/2016,18144.19922,5239.02002,1227.22998,15.91,111.254036
13/10/2016,18098.93945,5213.330078,1215.75,16.690001,110.91272
14/10/2016,18138.38086,5214.160156,1212.410034,16.120001,111.528984
17/10/2016,18086.40039,5199.819824,1210.140015,16.209999,111.453133
18/10/2016,18161.93945,5243.839844,1217.300049,15.28,111.377304
19/10/2016,18202.61914,5246.410156,1222.640015,14.41,111.045448
20/10/2016,18162.34961,5241.830078,1219.790039,13.75,110.988579
21/10/2016,18145.71094,5257.399902,1218.099976,13.34,110.552422
24/10/2016,18223.0293,5309.830078,1226.449951,13.02,111.547951
25/10/2016,18169.26953,5283.399902,1216.099976,13.46,112.116829
26/10/2016,18199.33008,5250.27002,1204.75,14.24,109.594803
27/10/2016,18169.67969,5215.970215,1189.949951,15.36,108.542366
28/10/2016,18161.18945,5190.100098,1187.609985,16.190001,107.821785
31/10/2016,18142.41992,5189.140137,1191.390015,17.059999,107.651123
01/11/2016,18037.09961,5153.580078,1177.939941,18.559999,105.707443
02/11/2016,17959.64063,5105.569824,1162.52002,19.32,105.802261
03/11/2016,17930.66992,5058.410156,1156.890015,22.08,104.668221
04/11/2016,17888.2793,5046.370117,1163.439941,22.51,103.724724
07/11/2016,18259.59961,5166.169922,1192.25,18.709999,105.220932
08/11/2016,18332.74023,5193.490234,1195.140015,18.74,105.840378
09/11/2016,18589.68945,5251.069824,1232.160034,14.38,105.668861
10/11/2016,18807.88086,5208.799805,1251.609985,14.74,102.724083
11/11/2016,18847.66016,5237.109863,1282.380005,14.17,103.334007
14/11/2016,18868.68945,5218.399902,1298.599976,14.48,100.741837
15/11/2016,18923.06055,5275.620117,1302.140015,13.37,102.07605
16/11/2016,18868.14063,5294.580078,1302.199951,13.72,104.820671
17/11/2016,18903.82031,5333.970215,1309.47998,13.35,104.782547
